input,output
"इस एप्प के प्रतिबन्ध के लिए तमिलनाडु स्टेट कोर्ट ने सरकार को बताया था कि एप्प के ज़रिए अश्लीलता, और ख़ासतौर से चाइल्ड पोर्नोग्राफी को बढ़ावा मिल रहा है। इसी दौरान कई लोगों ने एप्प को बैन करने की अपील की और बाद में सरकार द्वारा एप्पल और गूगल को कोर्ट कर आदेश मानने का आदेश दिया गया है और एप्प को गूगल और एप्पल एप्प स्टोर से हटा लिया गया।","इस एप्प के प्रतिबन्ध के लिए तमिलनाडु स्टेट कोर्ट ने सरकार को बताया था कि एप्प के ज़रिए अश्लीलता, और ख़ासतौर से चाइल्ड पोर्नोग्राफी को बढ़ावा मिल रहा है। इसी दौरान कई लोगों ने एप्प को बैन करने की अपील की और बाद में सरकार द्वारा एप्पल और गूगल को कोर्ट कर आदेश मानने का आदेश दिया गया है और एप्प को गूगल और एप्पल एप्प स्टोर से हटा लिया गया।"
बिलवा बाईपास निवासी मिसिरयार खान को पथरी है। बीते 15 फरवरी को परिजनों ने उसे आईवीआरआई रोड स्थित आस्था अस्पताल में भर्ती कराया था। परिजनों के मुताबिक डॉक्टर ने जांच के बाद पथरी का ऑपरेशन करने की बात कही। उसने अल्ट्रासाउंड कराया तो दोनों तरफ पथरी होने का पता चला। आयुष्मान का गोल्डन कार्ड उसने अस्पताल के स्टाफ को दिया। मरीज का आरोप है कि उसे दाहिने हिस्से में काफी दर्द हो रहा था लेकिन डॉक्टर बाएं हिस्से का ऑपरेशन करने की बात कह रहे थे। उसने इंकार कर दिया। इसी बात पर स्टाफ से उसका विवाद हो गया। उसका आरोप है कि स्टाफ के लोगों ने कई अन्य लोगों के साथ मिलकर उसके साथ हाथापाई की।,बिलवा बाईपास निवासी मिसिरयार खान को पथरी है। बीते 15 फरवरी को परिजनों ने उसे आईवीआरआई रोड स्थित आस्था अस्पताल में भर्ती कराया था। परिजनों के मुताबिक डॉक्टर ने जांच के बाद पथरी का ऑपरेशन करने की बात कही। उसने अल्ट्रासाउंड कराया तो दोनों तरफ पथरी होने का पता चला। आयुष्मान का गोल्डन कार्ड उसने अस्पताल के स्टाफ को दिया। मरीज का आरोप है कि उसे दाहिने हिस्से में काफी दर्द हो रहा था लेकिन डॉक्टर बाएं हिस्से का ऑपरेशन करने की बात कह रहे थे। उसने इंकार कर दिया। इसी बात पर स्टाफ से उसका विवाद हो गया। उसका आरोप है कि स्टाफ के लोगों ने कई अन्य लोगों के साथ मिलकर उसके साथ हाथापाई की।
देहरादून में पीएम मोदी की रैली से पहले पदर्शदेहरादून में पीएम मोदी की रैली से पहले पदर्शनकारियों को हटायानकारियों को हटाया - फोटो : अमर उजाला,देहरादून में पीएम मोदी की रैली से पहले पदर्शदेहरादून में पीएम मोदी की रैली से पहले पदर्शनकारियों को हटायानकारियों को हटाया - फोटो : अमर उजाला
आत्मविश्वास जुटाने की कवायद में भारतीय हाकी टीम,आत्मविश्वास जुटाने की कवायद में भारतीय हाकी टीम
"मौके पर मौजूद ग्रामीणों ने मलबे में दबे जवान को बाहर निकालकर सामुदायिक स्वास्थ्य केंद्र बड़कोट पहुंचाया, जहां डॉक्टरों ने उसे मृत घोषित कर दिया। वहीं रात भर हुई बारिश से बड़कोट में यमुनोत्री हाईवे डबरकोट में शुक्रवार की सुबह बंद रहा।","मौके पर मौजूद ग्रामीणों ने मलबे में दबे जवान को बाहर निकालकर सामुदायिक स्वास्थ्य केंद्र बड़कोट पहुंचाया, जहां डॉक्टरों ने उसे मृत घोषित कर दिया। वहीं रात भर हुई बारिश से बड़कोट में यमुनोत्री हाईवे डबरकोट में शुक्रवार की सुबह बंद रहा।"
पीठ ने नांदेड़ गुरुद्वारा प्रबंधन को एसडीएमए के समक्ष मंगलवार तक एक अभिवेदन दाखिल करने का भी निर्देश दिया।,पीठ ने नांदेड़ गुरुद्वारा प्रबंधन को एसडीएमए के समक्ष मंगलवार तक एक अभिवेदन दाखिल करने का भी निर्देश दिया।
"उन्होंने कहा, ‘राष्ट्रीय चैनल को बंद करने के फैसले की सबसे बड़ी वजह इसका कमज़ोर ट्रांसमिशन है. नागपुर ट्रांसमिशन की क्षमता केवल एक मेगावॉट है और इसे बड़ी संख्या में श्रोता सुन ही नहीं सकते. डिजिटल रेडियो के समय में ऐसी तकनीक पर्याप्त नहीं है.’","उन्होंने कहा, ‘राष्ट्रीय चैनल को बंद करने के फैसले की सबसे बड़ी वजह इसका कमज़ोर ट्रांसमिशन है. नागपुर ट्रांसमिशन की क्षमता केवल एक मेगावॉट है और इसे बड़ी संख्या में श्रोता सुन ही नहीं सकते. डिजिटल रेडियो के समय में ऐसी तकनीक पर्याप्त नहीं है.’"
विधायक समाराम गरासिया ने सिरोही निर्दलीय विधायक और राज्य सरकार पर निशाना साधते हुए भाजपा कार्यकर्ताओं पर किए जा रहे झूठे मुकदमों के संदर्भ में कलेक्टर भगवती प्रसाद कलाल को यह बातें कही।,विधायक समाराम गरासिया ने सिरोही निर्दलीय विधायक और राज्य सरकार पर निशाना साधते हुए भाजपा कार्यकर्ताओं पर किए जा रहे झूठे मुकदमों के संदर्भ में कलेक्टर भगवती प्रसाद कलाल को यह बातें कही।
लोकसभा चुनाव 2019 के लिए प्रधानमंत्री नरेंद्र मोदी ने शुक्रवार को वाराणसी संसदीय क्षेत्र से अपना नामांकन पत्र दाखिल किया. नामांकन पत्र भरने से पहले पीएम मोदी ने महामना पंडित मदन मोहन मालवीय की दत्तक बेटी अन्नपूर्णा शुक्ला के पैर छुए और उनसे आशीर्वाद लिया.,लोकसभा चुनाव 2019 के लिए प्रधानमंत्री नरेंद्र मोदी ने शुक्रवार को वाराणसी संसदीय क्षेत्र से अपना नामांकन पत्र दाखिल किया. नामांकन पत्र भरने से पहले पीएम मोदी ने महामना पंडित मदन मोहन मालवीय की दत्तक बेटी अन्नपूर्णा शुक्ला के पैर छुए और उनसे आशीर्वाद लिया.
"पुलिस के अनुसार मुन्नालाल और उसके छोटे बेटे का विवाद चल रहा है। इसी बात को लेकर मुन्नालाल ने पत्नी को देखने जाने से मना किया था, लेकिन पुत्र मोह में फंसी पत्नी बुधवार को बेटे की हालत देखने अस्पताल पहुंच गई। इसी बात से नाराज होकर मुन्नालाल ने पत्नी की हत्या कर दी।","पुलिस के अनुसार मुन्नालाल और उसके छोटे बेटे का विवाद चल रहा है। इसी बात को लेकर मुन्नालाल ने पत्नी को देखने जाने से मना किया था, लेकिन पुत्र मोह में फंसी पत्नी बुधवार को बेटे की हालत देखने अस्पताल पहुंच गई। इसी बात से नाराज होकर मुन्नालाल ने पत्नी की हत्या कर दी।"
वाहन में सवार लोग एक शादी समारोह में हिस्सा लेने के लिए पेशावार से डेरा इस्माइल खान शहर जा रहे थे। पुलिस का कहना है कि वैन में सवार लोग करीबी रिश्तेदार थे।,वाहन में सवार लोग एक शादी समारोह में हिस्सा लेने के लिए पेशावार से डेरा इस्माइल खान शहर जा रहे थे। पुलिस का कहना है कि वैन में सवार लोग करीबी रिश्तेदार थे।
दरअसल जिगित्सा हेल्थ केयर कंपनी द्वारा जननी एक्सप्रेस का संचालन किया जाता है। कंपनी की 8 दिसंबर को टेंडर अवधि खत्म हो चुकी है। हालांकि नया टेंडर जय मां अंबे नामक कंपनी का हो चुका है परंतु अभी उसे कार्य संभालने में कुछ समय लगेगा। ऐसे में एनएचएम द्वारा जिगित्सा हेल्थ केयर कंपनी को एक्सटेंशन देते हुए 31 दिसंबर तक का समय दिया गया है। परंतु कंपनी ने जननी एक्सप्रेस के वेंडरों को किसी तरह का लिखित में आदेश नहीं दिया। इस वजह से संचालकों ने जननी एक्सप्रेस का संचालन बंद कर दिया। संचालकों का कहना है कि कंपनी द्वारा हमें आदेश नहीं मिला है। ऐसे में हम कैसे संचालन कर सकते हैं। जननी एक्सप्रेस बंद होने से जिले में प्रसूताओं को लाने -ले जाने का कार्य पूरी तरह से ठप हो चुका है। इससे आम लोगों को काफी परेशानियों का सामना करना पड़ रहा है। जिला अस्पताल में प्रतिदिन 8 से 9 डिलीवरी होती हैं। ऐसे में जननी एक्सप्रेस बंद होने के कारण प्रसूताओं की जान से खिलवाड़ किया जा रहा है।,दरअसल जिगित्सा हेल्थ केयर कंपनी द्वारा जननी एक्सप्रेस का संचालन किया जाता है। कंपनी की 8 दिसंबर को टेंडर अवधि खत्म हो चुकी है। हालांकि नया टेंडर जय मां अंबे नामक कंपनी का हो चुका है परंतु अभी उसे कार्य संभालने में कुछ समय लगेगा। ऐसे में एनएचएम द्वारा जिगित्सा हेल्थ केयर कंपनी को एक्सटेंशन देते हुए 31 दिसंबर तक का समय दिया गया है। परंतु कंपनी ने जननी एक्सप्रेस के वेंडरों को किसी तरह का लिखित में आदेश नहीं दिया। इस वजह से संचालकों ने जननी एक्सप्रेस का संचालन बंद कर दिया। संचालकों का कहना है कि कंपनी द्वारा हमें आदेश नहीं मिला है। ऐसे में हम कैसे संचालन कर सकते हैं। जननी एक्सप्रेस बंद होने से जिले में प्रसूताओं को लाने -ले जाने का कार्य पूरी तरह से ठप हो चुका है। इससे आम लोगों को काफी परेशानियों का सामना करना पड़ रहा है। जिला अस्पताल में प्रतिदिन 8 से 9 डिलीवरी होती हैं। ऐसे में जननी एक्सप्रेस बंद होने के कारण प्रसूताओं की जान से खिलवाड़ किया जा रहा है।
6 घंटे तक कमरे में पड़ी रही लाश,6 घंटे तक कमरे में पड़ी रही लाश
"मुजफ्फरपुर हादसे पर बोले पप्पू यादव, आरोपी को मिल रहा सत्ता का संरक्षण, होली नहीं मनायेगी ''जाप''","मुजफ्फरपुर हादसे पर बोले पप्पू यादव, आरोपी को मिल रहा सत्ता का संरक्षण, होली नहीं मनायेगी ''जाप''"
यूपी की राजधानी लखनऊ से चलने वाली रोडवेज बसों के चार रूटों पर जल्द ही यात्री प्लाजा खुलेंगे। तैयारियां अंतिम दौर में हैं। इसी माह के अंत तक टेंडर प्रक्रिया पूरी हो जाएगी। अगले माह तक यात्रियों को चार शहरों के बीच बेहतरीन भोजन लेने की सुविधा मिल जाएगी।,यूपी की राजधानी लखनऊ से चलने वाली रोडवेज बसों के चार रूटों पर जल्द ही यात्री प्लाजा खुलेंगे। तैयारियां अंतिम दौर में हैं। इसी माह के अंत तक टेंडर प्रक्रिया पूरी हो जाएगी। अगले माह तक यात्रियों को चार शहरों के बीच बेहतरीन भोजन लेने की सुविधा मिल जाएगी।
30 सेकेंड के किरदार के लिए दो साल तक काटे थे चक्कर: योगेश त्रिपाठी शुरुआत में एक थियेटर आर्टिस्ट थे। उसके बाद उन्होंने अपने एक्टिंग के सपने को पूरा कर के लिए मुंबई का रुख किया। इस दौरान क्लोरोमिंट के एक ऐड में महज 30 सेकेंड के किरदार के लिए योगेश त्रिपाठी ने लगभग दो साल तक प्रोडक्शन हाउस के चक्कर काटे थे। इसके बाद 2007 में आखिरकार योगेश को क्लोरोमिंट का वह किरदार मिल गया।,30 सेकेंड के किरदार के लिए दो साल तक काटे थे चक्कर: योगेश त्रिपाठी शुरुआत में एक थियेटर आर्टिस्ट थे। उसके बाद उन्होंने अपने एक्टिंग के सपने को पूरा कर के लिए मुंबई का रुख किया। इस दौरान क्लोरोमिंट के एक ऐड में महज 30 सेकेंड के किरदार के लिए योगेश त्रिपाठी ने लगभग दो साल तक प्रोडक्शन हाउस के चक्कर काटे थे। इसके बाद 2007 में आखिरकार योगेश को क्लोरोमिंट का वह किरदार मिल गया।
