source,target
"কিন্তু যেমনি এই রাজ্যগুলিতে তুলোর রপ্তানি পরম স্বার্থ হয়ে উঠতে থাকল, ঠিক সেই অনুপাতেই নিগ্রোদের উপরি খাটুনি এবং মাত্র সাতবছরের পরিশ্রমে তাদের জীবনযাত্রার সমাপ্তি হয়ে উঠল একটি পরিকল্পিত পদ্ধতির হিসেবের ব্যাপার। , তুমি আমার কানে নিরন্তর “ঞ্চয়” ও “ভোগ-সংবরণ""-এর বানি শোনাও।","কিন্তু যেমনি এই রাজ্যগুলিতে তুলোর রপ্তানি পরম স্বার্থ হয়ে উঠতে থাকল, ঠিক সেই অনুপাতেই নিগ্রোদের উপরি খাটুনি এবং মাত্র সাতবছরের পরিশ্রমে তাদের জীবনযাত্রার সমাপ্তি হয়ে উঠল একটি পরিকল্পিত পদ্ধতির হিসেবের ব্যাপার। , তুমি আমার কানে নিরন্তর “ঞ্চয়” ও “ভোগ-সংবরণ""-এর বানি শোনাও।"
"দানিয়েল শুনল , শুনে স্বসতি পায় ।","দানিয়েল শুনল , শুনে স্বস্তি পায় ।"
যাতে করে সে তা করতে পারে সেইজন্য তাকে হতে হবে যার নিজের শ্ রমক্ষমতার তথা নিজের ব্যক্তিসত্তার নিঃশত মালিক ।,যাতে করে সে তা করতে পারে সেইজন্য তাকে হতে হবে যার নিজের শ্রমক্ষমতার তথা নিজের ব্যক্তিসত্তার নিঃশত মালিক ।
"মাটিতে পাতা দুখানা লহার উপর দিয়ে প্রকাণ্ড প্রচণ্ড স্পেশ্যালগুলি যেমন গড়িয়ে যায়, তেমনি চললো গোবিন্দর পফিস-পুঁথির লাইনে লাইনে।","মাটিতে পাতা দুখানা লোহার উপর দিয়ে প্রকাণ্ড প্রচণ্ড স্পেশ্যালগুলি যেমন গড়িয়ে যায়, তেমনি চললো গোবিন্দর পফিস-পুঁথির লাইনে লাইনে।"
কাগজ ও রঙ ের এমন কিছু উল্লেখযোগ্য অপচয় হয় না।,কাগজ ও রঙের এমন কিছু উল্লেখযোগ্য অপচয় হয় না।
"পুলিশ আছে সভায় , ফতোয়াবাজদের নিচ্ছিদ্র নিরাপত্তা দিতেই ছিল । এবং শীলা রেড্ডি রহস্যের হাসিলাম হাসেন ।","পুলিশ আছে সভায় , ফতোয়াবাজদের নিচ্ছিদ্র নিরাপত্তা দিতেই ছিল । এবং শীলা রেড্ডি রহস্যের হাসিলাম হাসেন ।"
"কিন্তু মুসলমানদের মাথার ওপর সপ্তম শতাব্দীর আইন , যেমন থাকিবে তেমনই আছে , সংস্কারের কিছুই হয়নি এতকাল , আর ভারতবর্ষের সব মুসলমানকে মাথা পেতে বরণ করতে হচ্ছে এই পচা পুরোনো আইন , এই আইন তারা পছন্দকরুক বা না করুক ।","কিন্তু মুসলমানদের মাথার ওপর সপ্তম শতাব্দীর আইন , যেমন থাকিবে তেমনই আছে , সংস্কারের কিছুই হয়নি এতকাল , আর ভারতবর্ষের সব মুসলমানকে মাথা পেতে বরণ করতে হচ্ছে এই পচা পুরোনো আইন , এই আইন তারা পছন্দ করুক বা না করুক ।"
কিন্তু এই উভয়বিধ সীমাগত শর্তগুল খুবই স্থিতিস্থাপক প্রকৃতির এবং সর্বাধিক অবকাশের সুযোগ দেয়।,কিন্তু এই উভয়বিধ সীমাগত শর্তগুলি খুবই স্থিতিস্থাপক প্রকৃতির এবং সর্বাধিক অবকাশের সুযোগ দেয়।
মনিরুদ্দিন শুনলে মন বিষ করে ঘরে শুয়েপ ড়লেন ।,মনিরুদ্দিন শুনলে মন বিষ করে ঘরে শুয়ে পড়লেন ।
ব্যবসায়ে যত মন্দা আসে ততই চলতি ব্যবসায়ে বেশি বেশি লাভের চেষ্টা করতে হয়। এবং তারপরে ব্রাত্য আছি নাকি সেলিব্রিটি ছিলাম !,ব্যবসায়ে যত মন্দা আসে ততই চলতি ব্যবসায়ে বেশি বেশি লাভের চেষ্টা করতে হয়। এবং তারপরে ব্রাত্য আছি নাকি সেলিব্রিটি ছিলাম !
এ কাজ শেষ করতে গেলে আমাকে থাকতে হবে কেবল আত্মবয় স্বজন নয় যে কোনও মানুষেরই চচোখের আড়ালে!,এ কাজ শেষ করতে গেলে আমাকে থাকতে হবে কেবল আত্মবয় স্বজন নয় যে কোনও মানুষেরই চোখের আড়ালে!
"যা থাকে , সত্য হল একমাত্র মূল্য যেটা পণ্য উৎপাদনের প্রক্রিয়ায় সেটাই সত্যই সৃষ্টি হয়েছে ।","যা থাকে , সেটাই হল একমাত্র মূল্য যেটা পণ্য উৎপাদনের প্রক্রিয়ায় সত্য সত্যই সৃষ্টি হয়েছে ।"
"কিন্তু মুসলমানদের মাথার ওপর সপ্তম শতাব্দীর আইন , যেমন থাকিবে তেমনই আছে , সংস্কারেের কিছুই হয়নি এতকাল , আর ভারতবর্ষের সব মুসলমানকে মাথা পেতে বরণ করতে হচ্ছে এই পচা পুরোনো আইন , এই আইন তারা পছন্দ করুক বা না করুক ।","কিন্তু মুসলমানদের মাথার ওপর সপ্তম শতাব্দীর আইন , যেমন থাকিবে তেমনই আছে , সংস্কারের কিছুই হয়নি এতকাল , আর ভারতবর্ষের সব মুসলমানকে মাথা পেতে বরণ করতে হচ্ছে এই পচা পুরোনো আইন , এই আইন তারা পছন্দ করুক বা না করুক ।"
"সম্ভব হত , যদি ম্যাট কোনও সমবেদনা দেখাতো , যদি নিজেই বলত , তুমি বিছানায় শু লে , আমি মাটিতে শুই বা কোনও হোটেলে চলে যাই ।","সম্ভব হত , যদি ম্যাট কোনও সমবেদনা দেখাতো , যদি নিজেই বলত , তুমি বিছানায় শুলে , আমি মাটিতে শুই বা কোনও হোটেলে চলে যাই ।"
"খরচ বাপের আর তর কি আছে , বিড়ি সিগারেট খায় নাই , পান জরদা খায় নাই।","তর বাপের আর খরচ কি আছে , বিড়ি সিগারেট খায় নাই , পান জরদা খায় নাই ।"
"সম্ভব হত , যদি ম্যাট কোনও সমবেদনা দেখাতো , যদি নিজেই বলত , তুমি বিছানায় শুলে , আমি মাটিতে শুই বা কোনওহোটেলে চলে যাই ।","সম্ভব হত , যদি ম্যাট কোনও সমবেদনা দেখাতো , যদি নিজেই বলত , তুমি বিছানায় শুলে , আমি মাটিতে শুই বা কোনও হোটেলে চলে যাই ।"
"এই দ্বীপটিতে , এই ইল দ্য লা সিতের আছে সবচেয়ে পুরনো বসতি , এখানেই এক উপজাতি জেলেদলের নাম ছিল পারিসি । এবং তারপরে এর মধ্যে কতটা সত্যি ছিল জানি না , কারণ অতীতেও তার সততায় সংশয় ছিল ।","এই দ্বীপটিতে , এই ইল দ্য লা সিতের আছে সবচেয়ে পুরনো বসতি , এখানেই এক উপজাতি জেলেদলের নাম ছিল পারিসি । এবং তারপরে এর মধ্যে কতটা সত্যি ছিল জানি না , কারণ অতীতেও তার সততায় সংশয় ছিল ।"
"দশ বছরের বালক ফের্নিহাফ বলে, “আমি ((খাবারের জন্য) রোজ এক ঘণ্টা করে পাই না; কোণ কোণ দীন পাই কেবলআধ ঘণ্টা-বিষ্যৎবার, শুক্রবার আর শনিবার।","দশ বছরের বালক ফের্নিহাফ বলে, “আমি (খাবারের জন্য) রোজ এক ঘণ্টা করে পাই না; কোণ কোণ দীন পাই কেবল আধ ঘণ্টা-বিষ্যৎবার, শুক্রবার আর শনিবার।"
"দেখে নিচ্ছে আমি ঠিক ছিলাম কি না , আমার পেছনের সিটে যারা আছে ,তারা ঠিক কি না , এই গাড়ির পেছনের গাড়িটায় কোনও অসুবিধে হচ্ছে কি না , এবং পেছনের গাড়িটার পেছনে কোনও সন্দেহজনক গাড়ির চিহ্ন আছে কি না ।","দেখে নিচ্ছে আমি ঠিক ছিলাম কি না , আমার পেছনের সিটে যারা আছে , তারা ঠিক কি না , এই গাড়ির পেছনের গাড়িটায় কোনও অসুবিধে হচ্ছে কি না , এবং পেছনের গাড়িটার পেছনে কোনও সন্দেহজনক গাড়ির চিহ্ন আছে কি না ।"
"তখনও তো তুমি থাকিবে , বেচঁে ছিলে ।","তখনও তো তুমি থাকিবে , বেঁচে ছিলে ।"
"বিশিষ্ট বুদ্ধিজীবীরা অনুষ্ঠানে থাকিবেন , অবশ্য বাংলাদেশের কেউ ছিলেন না । ও তাঁর ডাকটি জেগে থাকা কিরণময়ী শুনলেন , সুরঞ্জন শোনে , সাদা কালো বেড়ালটিও শোনে ।","বিশিষ্ট বুদ্ধিজীবীরা অনুষ্ঠানে থাকিবেন , অবশ্য বাংলাদেশের কেউ ছিলেন না । ও তাঁর ডাকটি জেগে থাকা কিরণময়ী শুনলেন , সুরঞ্জন শোনে , সাদা কালো বেড়ালটিও শোনে ।"
"অত্যন্ত মান্যগণ্য’ ব্রিটিশ জুরীরা রায় দিয়ে তাদের নবৃহত্যার অপরাধে উধ্ব তম বিচারালয়ে সোপর্দ করলেন এবং রায়ে একটি মৃদু সংযোজনী মারফৎ শুধু শুভেচ্ছা প্রকাশ করলেন যে রেল কোম্পানির ধনতান্ত্রিক মালিকরা ভবিষ্যতে যেন একটি বেশি খরচ করে যথেষ্ট পরিমাণ শ্রমশক্তির ক্রয় করেন এবং মজুরি-প্রদত্ত শ্রমশক্তিকে শোষণ করার ব্যাপারে আর একটু বেশি ‘সংযমী’ আর একটু বেশি ্বার্থত্যাগী, আর একটু বেশি মিতব্যয়ী হন।","অত্যন্ত মান্যগণ্য’ ব্রিটিশ জুরীরা রায় দিয়ে তাদের নবৃহত্যার অপরাধে উধ্ব তম বিচারালয়ে সোপর্দ করলেন এবং রায়ে একটি মৃদু সংযোজনী মারফৎ শুধু শুভেচ্ছা প্রকাশ করলেন যে রেল কোম্পানির ধনতান্ত্রিক মালিকরা ভবিষ্যতে যেন একটি বেশি খরচ করে যথেষ্ট পরিমাণ শ্রমশক্তির ক্রয় করেন এবং মজুরি-প্রদত্ত শ্রমশক্তিকে শোষণ করার ব্যাপারে আর একটু বেশি ‘সংযমী’ আর একটু বেশি স্বার্থত্যাগী, আর একটু বেশি মিতব্যয়ী হন।"
তার নাম পটারি হাঁপানি’ বা ‘পটারি যক্ষ্মা। এবং আমি দিল্লিতে থাকিব শুনে কলকাতা বদলে গন্তব্য দিল্লি করে নিয়েছে শুধু ।,তার নাম পটারি হাঁপানি’ বা ‘পটারি যক্ষ্মা। এবং আমি দিল্লিতে থাকিব শুনে কলকাতা বদলে গন্তব্য দিল্লি করে নিয়েছে শুধু ।
"সু–শোনো , তোমাকে ে জরুরি কারণে ফোন করেছি , তা হল , পুলিশের কাছে খবর ছিল , এখানে কিছু অবাঙালি মুসলমান তোমাকে মেরে ফেলার জন্য তৈরি হয়ে আছে ।","সু–শোনো , তোমাকে যে জরুরি কারণে ফোন করেছি , তা হল , পুলিশের কাছে খবর ছিল , এখানে কিছু অবাঙালি মুসলমান তোমাকে মেরে ফেলার জন্য তৈরি হয়ে আছে ।"
"শ্রমিক যদি তার ব্যবহারযোগ্য এম নিজের জন্যই পরিভোগ করে, তা হলে সে ধনিককে লুণ্ঠন করে। , কেউ জানবে না কোনওদিন কেমন ছিলাম , কীভাবে আছি ।","শ্রমিক যদি তার ব্যবহারযোগ্য এম নিজের জন্যই পরিভোগ করে, তা হলে সে ধনিককে লুণ্ঠন করে। , কেউ জানবে না কোনওদিন কেমন ছিলাম , কীভাবে আছি ।"
"যেহেতু এম-দিবস হচ্ছে ক + গ অর্থাৎ ক গ, সেইহেতু পরিবর্তনীয় রাশি এ গ-র পরিবর্তনের সঙ্গে সঙ্গে এম-দিবসেও পরিরব্তিত হয়।","যেহেতু এম-দিবস হচ্ছে ক + গ অর্থাৎ ক গ, সেইহেতু পরিবর্তনীয় রাশি এ গ-র পরিবর্তনের সঙ্গে সঙ্গে এম-দিবসেও পরিবর্তিত হয়।"
"বঁবা অজয়, এর চেয় বেশি আর কীবল?ব","বঁবা অজয়, এর চেয়ে বেশি আর কী বলব?"
"নীলা রান্নাঘর থেকে জল পড়ার শব্দকে আড়াল করে উঁচু স্বরে বলে , তুমি তো ডিম খাইলে দুধ খাও , এ সব তো আমিষ । ও কলেজ ছাড়ার পর গোবিন্দ বলেছিলো, সেকলেজের অধ্যাপক হবে।","নীলা রান্নাঘর থেকে জল পড়ার শব্দকে আড়াল করে উঁচু স্বরে বলে , তুমি তো ডিম খাইলে দুধ খাও , এ সব তো আমিষ । ও কলেজ ছাড়ার পর গোবিন্দ বলেছিলো, সেকলেজের অধ্যাপক হবে।"
"হারটি নির্ধারণ করে, সেইহেতু এই শেষোক্তটি নির্দেশিত হয় ক -র সঙ্গে খ গ অনুপাতের দ্বারা। এবং তারপরে সে একা একটি হিন্দু মেয়ে , তার বইও আছে না , তার জন্য আলাদা হিন্দু মাস্টােরও ছিল না ।","হারটি নির্ধারণ করে, সেইহেতু এই শেষোক্তটি নির্দেশিত হয় ক -র সঙ্গে খ গ অনুপাতের দ্বারা। এবং তারপরে সে একা একটি হিন্দু মেয়ে , তার বইও আছে না , তার জন্য আলাদা হিন্দু মাস্টােরও ছিল না ।"
"সমাজের বিভিন্ন অর্থ নৈতিক রূপের থেকে , যেমন দাস - শ্রমের দ্বারা ভিত্তিশীল সমাজ- রূপ এবং মজুরি শ্রমের দ্বারা ভিত্তিশীল সমাজ - রূপের থেে মর্মগত পার্থক্য নিহিত থাকে কিভাবে প্রত্যেকটি ক্ষেত্রে আসল উৎপাদকের কাছ এর তথা শ্রমিকের কাছ এর এই উদ্ধ মূল্য নিষ্কর্ষিত করা হয় , কেবল যেই পদ্ধতিটির থেকে ।","সমাজের বিভিন্ন অর্থ নৈতিক রূপের থেকে , যেমন দাস - শ্রমের দ্বারা ভিত্তিশীল সমাজ - রূপ এবং মজুরি শ্রমের দ্বারা ভিত্তিশীল সমাজ - রূপের থেকে মর্মগত পার্থক্য নিহিত থাকে কিভাবে প্রত্যেকটি ক্ষেত্রে আসল উৎপাদকের কাছ এর তথা শ্রমিকের কাছ এর এই উদ্ধ মূল্য নিষ্কর্ষিত করা হয় , কেবল যেই পদ্ধতিটির থেকে ।"
"জয়পুরীদের যুক্তি থাকিবে সময় তোমার এখন খারাপ , , মিডিয়া তোমার পক্ষে , তুমি মিডিয়াকে অ্যাভোয়েড করছো , মিডিয়াকে ক্ষেপিয়ে তুলছো , তুমি বুঝতে পারছে না মিডিয়াতে যতক্ষণ তুমি আছো , মিডিয়া যতক্ষণ তোমার পাশে আছে , ততক্ষণ কোনও সরকার , কোনও পলিটিক্যাল পার্টি তোমাকে কিছু করতে পারবে না ।","জয়পুরীদের যুক্তি থাকিবে , তোমার এখন খারাপ সময় , মিডিয়া তোমার পক্ষে , তুমি মিডিয়াকে অ্যাভোয়েড করছো , মিডিয়াকে ক্ষেপিয়ে তুলছো , তুমি বুঝতে পারছে না মিডিয়াতে যতক্ষণ তুমি আছো , মিডিয়া যতক্ষণ তোমার পাশে আছে , ততক্ষণ কোনও সরকার , কোনও পলিটিক্যাল পার্টি তোমাকে কিছু করতে পারবে না ।"
দেহ মাত্রার পরে এদের একটা আর চলবে না।,একটা মাত্রার পরে এদের দেহ আর চলবে না।
দুটি সমান অধিকারের মধ্যে এ ইসংঘাত শক্তির দ্বারা মীমাংসিত হয়।,দুটি সমান অধিকারের মধ্যে এই সংঘাত শক্তির দ্বারা মীমাংসিত হয়।
বাবাশুনতে হো হো করে হাসেন ।,বাবা শুনতে হো হো করে হাসেন ।
"মমতাকে কেবল লালন-পালন নয়, আমারপ ুত্রবধূ করব, বন্ধুর মৃত্যুশয্যায় এমগ প্রতিজ্ঞাও আমি করেছি।","মমতাকে কেবল লালন-পালন নয়, আমার পুত্রবধূ করব, বন্ধুর মৃত্যুশয্যায় এমগ প্রতিজ্ঞাও আমি করেছি।"
"আমার কোনও ঘুম থাকিবে না চিকিৎসা , রাত দিন আমি কুঁদ হয়ে ছিলাম তোমার জন্য কোনও মা পেতে ।","আমার কোনও ঘুম থাকিবে না মা , রাত দিন আমি কুঁদ হয়ে ছিলাম তোমার জন্য কোনও চিকিৎসা পেতে ।"
"এই কারণেই, যাকে বলা হয় শ্রম-দিবস, তার নির্ধারণের ঘটনাটি ধনতান্ত্রিক উৎপাদনের ইতিহাসে আত্মপ্রকাশ করে একটি সংগ্রামের পরিণতি হিসাবে-যৌথ মূলধন অর্থাৎ ধনিক-শ্রেণী এবং যৌথ শ্রম অর্থাৎ শশ্ৰমিক-শ্রেণীর মধ্যে সংগ্রাম হিসাবে।","এই কারণেই, যাকে বলা হয় শ্রম-দিবস, তার নির্ধারণের ঘটনাটি ধনতান্ত্রিক উৎপাদনের ইতিহাসে আত্মপ্রকাশ করে একটি সংগ্রামের পরিণতি হিসাবে-যৌথ মূলধন অর্থাৎ ধনিক-শ্রেণী এবং যৌথ শ্রম অর্থাৎ শ্ৰমিক-শ্রেণীর মধ্যে সংগ্রাম হিসাবে।"
"তু মি থাকিবে না ওই ভরা আসরে , কিন্তু ত ুমি ছিলে মা ।","তুমি থাকিবে না ওই ভরা আসরে , কিন্তু তুমি ছিলে মা ।"
"এক্ষেত্রে নিছক জীবন-ধারণই হবে তার ৎউপাদনের লক্ষ্য, ধন-সম্পদের বৃদ্ধি নয়, কিন্তু এই দ্বিতীয়টিও ধনতান্ত্রিক উৎপাদন-ব্যবস্থায় নিহিত থাকে, যাতে করে সে একজন সাধারণ শ্রমিকের তুলনায় কেবল দ্বিগুণ ভাল ভাবে বাঁচতে পারে, এবং, তা ছাড, উৎপাদিত উদ্ধত্ত মূল্যের অর্ধেকটা মূলধনে পরিণত করতে পারে, তার জন ্য তাকে, শ্রমিক-সংখ্যার সঙ্গে সঙ্গে, অগ্রিম প্রদত্ত ন্যূনতম মূলধনকে আট গুণ বাড়তে হবে।","এক্ষেত্রে নিছক জীবন-ধারণই হবে তার উৎপাদনের লক্ষ্য, ধন-সম্পদের বৃদ্ধি নয়, কিন্তু এই দ্বিতীয়টিও ধনতান্ত্রিক উৎপাদন-ব্যবস্থায় নিহিত থাকে, যাতে করে সে একজন সাধারণ শ্রমিকের তুলনায় কেবল দ্বিগুণ ভাল ভাবে বাঁচতে পারে, এবং, তা ছাড, উৎপাদিত উদ্ধত্ত মূল্যের অর্ধেকটা মূলধনে পরিণত করতে পারে, তার জন্য তাকে, শ্রমিক-সংখ্যার সঙ্গে সঙ্গে, অগ্রিম প্রদত্ত ন্যূনতম মূলধনকে আট গুণ বাড়তে হবে।"
"সেই স্কুলটি এখনও থাকিবে , মানে সেই দালানঘরটি আছে , কিন্তু নামটি বদলে গেছে । এবং মানবতা বলে একটি কথা থাকিবে , আদর্শ বলেও একটি কথা আছে ।","সেই স্কুলটি এখনও থাকিবে , মানে সেই দালানঘরটি আছে , কিন্তু নামটি বদলে গেছে । এবং মানবতা বলে একটি কথা থাকিবে , আদর্শ বলেও একটি কথা আছে ।"
"ভেতরে মেয়েই আছে সে  কিন্তু জন্মের পর আত্মীয় স্বজন ভেবেছিল সে ছেলে , ভাবার নিশ্চয়ই কোনও কারণ ছিল ।","ভেতরে মেয়েই আছে সে , কিন্তু জন্মের পর আত্মীয় স্বজন ভেবেছিল সে ছেলে , ভাবার নিশ্চয়ই কোনও কারণ ছিল ।"
ঐ আমার আশেপাশে ঘুরে বেড়াবে ছায়ার মতো—সর্বাই মনে করিয়ে দেবে আমার প্রতিজ্ঞা আর তার দাবির কথা।,ঐ আমার আশেপাশে ঘুরে বেড়াবে ছায়ার মতো—সর্বদাই মনে করিয়ে দেবে আমার প্রতিজ্ঞা আর তার দাবির কথা।
