input,output
அரி தவிர்க்க பின்பு வேண்டும்,அரசி தவிர்க்க சென்றார் வேண்டும்
மாதவி முன்பு இருந்து பேசினான் வந்தார்,மாதவி இருந்து பேசினான் வந்தார்
சுதாமதி காரணங்கள் முன்பு முக்கியம் விரும்பினான்,சுதாமதி காரணங்கள் விரும்பினார் முக்கியம்
வித்யாதரன் அழைத்தார் மாறினார்,வித்யாதரன் ஆக அழைத்தார் மாறினார்
கழிவு மாசு புற்றுநோய் ஆகும்,கழிவு மாசு புற்றுநோய் ஆகும்
முனிவர் இருந்து வந்தான் தொடங்கினான்,முனிவர் இருந்து தொடங்கினார் வந்தார்
பாட்டி சுத்த் பார்த்தார் செய்ய,பாட்டி சுத்தம் பார்த்தார் செய்ய
தீவு காரணமாக தொட்ஙகினார் ஒருசில ஆனார்,தீவு காரணமாக தொடங்கினார் ஆனார்
வஞ்சி சுத்தம் மிகவும் செய்ய,வஞ்சி சுத்தம் முடித்தார் செய்ய
துறவி நினைத்தார் பயணித்தான் என்று,துறவி என்று பயணித்தான் நினைத்தார்
பாட்டி தவிர்க்க கொன்றார் சில வேண்டமு்,பாட்டி தவிர்க்க கொன்றார் வேண்டும்
காவேரிப்பட்டினம் முறைகள் நினைத்தார் பயன்படுத்த,காவேரிப்பட்டினம் முறைகள் நினைத்தார் பயன்படுத்த
காவேரிப்பட்டினம் தீங்கு விளைவிக்கும் நினைத்தார்,காவேரிப்பட்டினம் தீங்கு நினைத்தார் விளைவிக்கும்
விவசாயம் கழிவுகள் புற்றுநோய் சேர்த்தல்,விவசாயம் கழிவுகள் புற்றுநோய் சேர்த்தல்
காவேரிப்பட்டினம் தவிர்க்க வேண்டும்,காவேரிப்பட்டினம் தவிர்க்க சென்றார் வேண்டும்
மணிமேகலை பாதிப்பு ஏற்படுத்தும்,மணிமேகலை பாதிப்பு கண்டான் ஏற்படுத்தும்
அரவணஅடிகள் கொன்றான் உள்ள கண்டார்,அரவணஅடிகள் உள்ள கொன்றான் கண்டார்
காப்பியம் காரணங்கள் முக்கியம்,காப்பியம் காரணங்கள் தப்பித்தார் முக்கியம்
காற்று மாசு ஆகும் புற்றுநோய்,காற்று மாசு புற்றுநோய் ஆகும்
இந்திரன் உள்ளன தப்பித்தார் விளைவுகள்,இந்திரன் விளைவுகள் தப்பித்தார் உள்ளன
உதயகுமரன் இல் ஒருசில வந்தார் நடைபெற்றது,உதயகுமாரன் இல் வந்தார் நடைபெற்றது
அரவணஅடிகள் ஒருசில அழைத்தான் நடைபெற்றது,அரவணஅடிகள் இல் அழைத்தான் நடைபெற்றது
ஜாவாதீவு वிரும்பனான் பற்றி பேசினார்,ஜாவாதீவு वிரும்பினான் பற்றி பேசினார்
பாத்திரம் இருந்து वிரும்பினான் வந்தார்,பாத்திரம் இருந்து वிரும்பினான் வந்தார்
நதி மாசு ஒலி ஆகும்,நதி மாசு ஒலி ஆகும்
தெய்வம் ஆக வந்தாள் மாறினாள்,தெய்வம் ஆக வந்தார் மாறினார்
பாத்திரம் பேசினார் தப்பித்தார்,பாத்திரம் தப்பித்தார் பற்றி பேசினார்
கோவலன் முறைகள் பேசினார் பயன்படுத்த,கோவலன் முறைகள் பேசினார் பயன்படுத்த
இளவரசன் தவிர்க்க வேண்டும்,இளவரசன் தவிர்க்க வந்தார் வேண்டும்
அமுதசுரபி தவிர்க்க வேண்டும் மிகவும் விரும்பினார்,அமுதசுரபி தவிர்க்க விரும்பினார் வேண்டும்
காவேரிப்பட்டினம் இல் தப்பித்தார் நடைபெற்றது,காவேரிப்பட்டினம் இல் தப்பித்தார் நடைபெற்றது
மணிமேகல அழைத்தான் மாறினான்,மணிமேகலை ஆக அழைத்தார் மாறினார்
கழிவு கழிவுகள் சேர்த்தல்,கழிவு கழிவுகள் நீர் சேர்த்தல்
மணிப்பவளம் பார்த்தார் சிறிது முறைகள் பயன்படுத்த,மணிப்பவளம் முறைகள் பார்த்தார் பயன்படுத்த
மணிமேகலை பேசினான் தவிர்க்க வேண்டும்,மணிமேகலை தவிர்க்க பேசினான் வேண்டும்
காயசண்டிகை காரணங்கள் விரும்பினார் ஒருசில முக்கியம்,காயசண்டிகை காரணங்கள் விரும்பினார் முக்கியம்
சிலப்பதிகாரம் தவிர்க்க வேண்டும்,சிலப்பதிகாரம் தவிர்க்க வந்தார் வேண்டும்
விழா ஆக பின்பு கண்டான் மாறினார்,விழா ஆக கண்டான் மாறினார்
முனிரவ் இருந்து பயணித்தான் வந்தார்,முனிவர் இருந்து பயணித்தான் வந்தார்
இளவரசன் தவிர்க்க வேண்டும்,இளவரசன் தவிர்க்க அழைத்தார் வேண்டும்
நகரம் மற்றும் கண்டாள் சந்தித்தாள்,நகரம் மற்றும் கண்டான் சந்தித்தார்
மணிப்பவளம் நடைபெற்றது பேசினார் இல்,மணிப்பவளம் இல் பேசினார் நடைபெற்றது
இளவரனச் சில மற்றும் தொடங்கினார் சந்தித்தார்,இளவரசன் மற்றும் தொடங்கினார் சந்தித்தார்
ஆபுத்திரன் மறுத்தார் சிறிது பற்றி பேசினார்,ஆபுத்திரன் மறுத்தார் பற்றி பேசினார்
காவேரிப்பட்டினம் தரவி்க்க வேண்டும்,காவேரிப்பட்டினம் தவிர்க்க வந்தார் வேண்டும்
காயசண்டிகை பாதிப்பு மறுத்தார் ஏற்படுத்தும்,காயசண்டிகை பாதிப்பு மறுத்தார் ஏற்படுத்தும்
இந்திரன் சுத்தம் செய்ய,இந்திரன் சுத்தம் கொன்றார் செய்ய
முனிவர் கூறினார் விருப்பம்,முனிவர் மீது கூறினார் விருப்பம்
சிலப்பதிகாரம் பாதிப்பு சிறிது वிரும்பினான் ஏற்படுத்தும்,சிலப்பதிகாரம் பாதிப்பு वிரும்பினான் ஏற்படுத்தும்
மன்னன் இருந்து விரும்பினார் வந்தார்,மன்னன் இருந்து விரும்பினார் வந்தார்
மதுரை முடித்தார் பேசினார்,மதுரை முடித்தார் பற்றி பேசினார்
அமுதசுரபி சென்றான் பற்றி பேசினான்,அமுதசுரபி சென்றார் பற்றி பேசினார்
சுத்தம் கழிவுகள் வந்தானன் சேர்த்தல்,சுத்தம் கழிவுகள் வந்தான் சேர்த்தல்
அரவணஅடிகள் முறைகள் தப்பித்தான் பயன்படுத்த,அரவணஅடிகள் முறைகள் தப்பித்தான் பயன்படுத்த
ஆபுத்திரன் செய்ய சுத்மத்,ஆபுத்திரன் சுத்தம் அழைத்தார் செய்ய
தீவு எஎன்று பேசினான் நினைத்தார்,தீவு என்று பேசினான் நினைத்தார்
அமுதசுரபி மறுத்தான் பற்றி பேசினார்,அமுதசுரபி மறுத்தான் பற்றி பேசினார்
அரசி விளைவுகள் பயணித்தாள் உள்ளன,அரசி விளைவுகள் பயணித்தான் உள்ளன
இளவரச்ன ஆக முடித்தான் மாறினான்,இளவரசன் ஆக முடித்தார் மாறினார்
பாட்டி காரணமாக ஆனாார்,பாட்டி காரணமாக பயணித்தான் ஆனார்
கோவலன் பிறகு மறுத்தான் செய்தார்,கோவலன் பிறகு மறுத்தான் செய்தார்
விழா முறைகள் பின்பு பயன்படுுத்த,விழா முறைகள் தப்பித்தார் பயன்படுத்த
ஒளி கழிவுகள் மாச சேர்த்தல்,ஒளி கழிவுகள் மாசு சேர்த்தல்
முனிவர் உள்ள கூறினான் கண்டான்,முனிவர் உள்ள கூறினார் கண்டார்
ஆபுத்திரன் முறைகள் பேசினார் பயன்படுத்த,ஆபுத்திரன் முறைகள் பேசினார் பயன்படுத்த
சுதாமதி உள்ள ணக்டார்,சுதாமதி உள்ள மறுத்தான் கண்டார்
அசி செய்ய கண்டான் சுத்தம்,அரசி சுத்தம் கண்டான் செய்ய
காவேரிப்பட்டினம் உள்ள கொன்றார் கண்டார்,காவேரிப்பட்டினம் உள்ள கொன்றார் கண்டார்
மன்னன் பற்றி கொன்றான் பேசினார்,மன்னன் கொன்றான் பற்றி பேசினார்
மணிமேகலை வந்தார் செய்தான் இருந்து,மணிமேகலை இருந்து செய்தான் வந்தார்
ஜாவாதீவு என்று நினைத்தார் நினைத்தார்,ஜாவாதீவு என்று நினைத்தார் நினைத்தார்
காப்பியம் இல் நடைபெற்றது அழைத்தான்,காப்பியம் இல் அழைத்தான் நடைபெற்றது
மாதவி சுத்தம் கண்டார் செய்ய,மாதவி சுத்தம் கண்டார் செய்ய
வித்யாதரன் விளைுவகள் கூறினார் உள்ளன,வித்யாதரன் விளைவுகள் கூறினார் உள்ளன
வஞ்சி காரணங்கள் அழைத்தாள் முக்கியம்,வஞ்சி காரணங்கள் அழைத்தான் முக்கியம்
முனிவர் மீது தப்பித்தார் விருப்பம்,முனிவர் மீது தப்பித்தார் விருப்பம்
காற்று கழிவுகள் விவசாயம் சேர்த்தல்,காற்று கழிவுகள் விவசாயம் சேர்த்தல்
விவசாயம் கழிவுகள் அழைத்தான் சேர்த்தல்,விவசாயம் கழிவுகள் அழைத்தான் சேர்த்தல்
தீவு நடைபெற்றது நினைத்தார் இல்,தீவு இல் நினைத்தார் நடைபெற்றது
அரசி இல் கூறினார் மிகவும் நடைபெற்றது,அரசி இல் கூறினார் நடைபெற்றது
மாதவி மிகவும் உள்ள செய்தான் கண்டான்,மாதவி உள்ள செய்தார் கண்டார்
கோவலன் பார்த்தார் பேசினார் பற்றி,கோவலன் பார்த்தார் பற்றி பேசினார்
வித்யாதரன் தப்பித்தான் காரணங்கள் சிறிது முக்கியம்,வித்யாதரன் காரணங்கள் தப்பித்தான் முக்கியம்
மணிப்பவளம் விளைவுகள் சிறிது அழைத்தார் உள்ளன,மணிப்பவளம் விளைவுகள் அழைத்தார் உள்ளன
விழா முறைகள் தொடங்கினார் பயன்படுத்த,விழா முறைகள் தொடங்கினார் பயன்படுத்த
மமழை கழிவுகள் அழைத்தான் சேர்த்தல்,மழை கழிவுகள் அழைத்தான் சேர்த்தல்
மணிப்பவளம் பயணித்தாள் தீஙக்ு விளைவிக்கும்,மணிப்பவளம் தீங்கு பயணித்தான் விளைவிக்கும்
நதி மாசு கண்டாள் ஆகும்,நதி மாசு கண்டான் ஆகும்
அமுதசுரபி என்று நினைத்தான்,அமுதசுரபி என்று வந்தார் நினைத்தார்
இந்திரன் சுத்தம் கண்டாான் செய்ய,இந்திரன் சுத்தம் கண்டார் செய்ய
இளவரசன் மீது விரும்பினார் விருப்பம்,இளவரசன் மீது விரும்பினார் விருப்பம்
முனிவர் காரணமாக மறுத்தார் ஆனார்,முனிவர் காரணமாக மறுத்தார் ஆனார்
துறவி ஆனாள் वிரும்பினாள் காரணமாக,துறவி காரணமாக वிரும்பினான் ஆனார்
அரவணடிகள் பின்பு செய்தார் பயன்படுத்த,அரவணஅடிகள் முறைகள் செய்தார் பயன்படுத்த
தொழிற்சாலை கழிவுகள் அழைத்தான் சேர்த்தல்,தொழிற்சாலை கழிவுகள் அழைத்தான் சேர்த்தல்
காயசண்டிகை ஆக விரும்பினான் மாறினான்,காயசண்டிகை ஆக விரும்பினார் மாறினார்
மணிப்பவளம் தவிர்க்்க பயணித்தாள் வேண்டும்,மணிப்பவளம் தவிர்க்க பயணித்தான் வேண்டும்
மன்னன் சுத்தம் செய்ய,மன்னன் சுத்தம் அழைத்தார் செய்ய
பாட்டி இல் செய்தார் நடைபெற்றது,பாட்டி இல் செய்தார் நடைபெற்றது
பாத்திரம் முடித்தார் சிறிது நினைத்தார்,பாத்திரம் என்று முடித்தார் நினைத்தார்
மதுரை கண்டாள் பற்றி பேசினாரர்,மதுரை கண்டான் பற்றி பேசினார்
இளவரசன் காரணங்கள் அழைத்தான் முக்கியம்,இளவரசன் காரணங்கள் அழைத்தான் முக்கியம்
விழா பிறகு செய்தார்,விழா பிறகு பேசினான் செய்தார்
இளவரசன் கூறினார் பேசினார் பற்றி,இளவரசன் கூறினார் பற்றி பேசினார்
துறவி மற்றும் கூறினார் சந்தித்தார்,துறவி மற்றும் கூறினார் சந்தித்தார்
மணிப்பவளம் பயணித்தான் பேசினார்,மணிப்பவளம் பயணித்தான் பற்றி பேசினார்
மணிமேகலை நினைத்தார் பேசினார் பற்றி,மணிமேகலை நினைத்தார் பற்றி பேசினார்
நதி கழிவுகள் ஒளி சேர்த்தல்,நதி கழிவுகள் ஒளி சேர்த்தல்
தெய்வம் தொடங்கினார் பாதிப்பு ஏற்படுத்தும்,தெய்வம் பாதிப்பு தொடங்கினார் ஏற்படுத்தும்
பாத்திரம் என்று மறுத்தார் நினைத்தார்,பாத்திரம் என்று மறுத்தார் நினைத்தார்
ஜாவாதீவு தவிர்க்க வேண்டும்,ஜாவாதீவு தவிர்க்க அழைத்தார் வேண்டும்
துறவி தப்பித்தார் விளைவிக்கும் தீங்கு,துறவி தீங்கு தப்பித்தார் விளைவிக்கும்
மணிமேகலை வந்தார் தவிர்க்க வேண்டும்,மணிமேகலை தவிர்க்க வந்தார் வேண்டும்
மணிப்பவளம் உள்ள கண்டார்,மணிப்பவளம் உள்ள செய்தார் கண்டார்
மாசு சேர்த்தல் கழிவுகள்,மாசு கழிவுகள் தப்பித்தான் சேர்த்தல்
பாத்திரம் பிறகு பேசினார் செய்தார்,பாத்திரம் பிறகு பேசினார் செய்தார்
சிலப்பதிகாரம் மறுத்தான் வந்தார்,சிலப்பதிகாரம் இருந்து மறுத்தான் வந்தார்
அரசி மீது மறுத்தான் விருப்பம்,அரசி மீது மறுத்தான் விருப்பம்
காப்பியம் கொன்றார் சிறிது சந்தித்தார்,காப்பியம் மற்றும் கொன்றார் சந்தித்தார்
மாதவி வந்தான் கண்டான்,மாதவி உள்ள வந்தான் கண்டார்
முனிவர் காரணங்கள் முக்கிம்,முனிவர் காரணங்கள் செய்தான் முக்கியம்
காப்பியம் காரணங்கள் மறுத்தார் முக்கியம்,காப்பியம் காரணங்கள் மறுத்தார் முக்கியம்
காவேரிப்பட்டினம் காரணமாக பயணித்தான் ஆனான்,காவேரிப்பட்டினம் காரணமாக பயணித்தான் ஆனார்
வித்யாதரன் சுத்தம் பார்த்தார் செய்ய,வித்யாதரன் சுத்தம் பார்த்தார் செய்ய
மணிமேகல சில இல் நினைத்தார் நடைபெற்றது,மணிமேகலை இல் நினைத்தார் நடைபெற்றது
துறவி முறைகள் அழைத்தார் பயன்படுத்த,துறவி முறைகள் அழைத்தார் பயன்படுத்த
நில மாச ஆகும்,நில மாசு புற்றுநோய் ஆகும்
உதயகுமாரன் பயன்டுத்த அழைத்தார் முறைகள்,உதயகுமாரன் முறைகள் அழைத்தார் பயன்படுத்த
வஞ்சி தீங்கு மறுத்தார் விளைவிக்கும்,வஞ்சி தீங்கு மறுத்தார் விளைவிக்கும்
கோவலன் மற்றும் முடித்தார் சந்தித்தார்,கோவலன் மற்றும் முடித்தார் சந்தித்தார்
மன்னன் உள்ள நினைத்தார் கண்டார்,மன்னன் உள்ள நினைத்தார் கண்டார்
முனிவர் அழைத்தார் பின்பு முன்பு உள்ளன,முனிவர் விளைவுகள் அழைத்தார் உள்ளன
பாத்திரம் பற்றி கொன்றான் முன்பு பேசினார்,பாத்திரம் கொன்றான் பற்றி பேசினார்
வித்யாதரன் பிறகு சில செய்தார்,வித்யாதரன் பிறகு கொன்றார் செய்தார்
இளரவசன் உள்ள கண்டார்,இளவரசன் உள்ள பேசினான் கண்டார்
வாகனம் கழிவுகள் பேசினான் சேர்த்தல்,வாகனம் கழிவுகள் பேசினான் சேர்த்தல்
பாத்திரம் சில தீங்கு விளைவிக்கும்,பாத்திரம் தீங்கு அழைத்தான் விளைவிக்கும்
காப்பியம் வேண்டும் பேசினான் தவிர்க்க,காப்பியம் தவிர்க்க பேசினார் வேண்டும்
மாதவி தவிர்க்க பேசினார் வேண்டும்,மாதவி தவிர்க்க பேசினார் வேண்டும்
ாகயசண்டிகை கொன்றார் தீங்கு விளைவிக்கும்,காயசண்டிகை தீங்கு கொன்றார் விளைவிக்கும்
ஒளளி கழிவுுகள் மாசு சேர்த்தல்,ஒளி கழிவுகள் மாசு சேர்த்தல்
மாதவி அழைத்தார் சுத்தம் செய்ய,மாதவி சுத்தம் அழைத்தார் செய்ய
நில மாசு ஆகும்,நில மாசு பயணித்தான் ஆகும்
இளவரசன் மீது கூறினான் விரப்பம்,இளவரசன் மீது கூறினார் விருப்பம்
மணிப்பவளம் என்று கண்டாான் நினைத்தான்,மணிப்பவளம் என்று கண்டான் நினைத்தார்
பாட்டி முன்பு தவிர்க்க வேண்டும்,பாட்டி தவிர்க்க செய்தார் வேண்டும்
மணிப்பவளம் இருந்து வந்தார் செய்தான்,மணிப்பவளம் இருந்து செய்தான் வந்தார்
மாதவி மறுத்தார் ஆனார்,மாதவி காரணமாக மறுத்தார் ஆனார்
மன்னன் காரணமாக கண்டார் ஆனார்,மன்னன் காரணமாக கண்டார் ஆனார்
விவசாயம் மாச वிரும்பினான் ஆகும்,விவசாயம் மாசு वிரும்பினான் ஆகும்
இவளரசன் தவிர்க்க பயணித்தான் மிகவும் வேண்டும்,இளவரசன் தவிர்க்க பயணித்தான் வேண்டும்
இளவரசன் தீ்கு விளைவிக்கும்,இளவரசன் தீங்கு வந்தான் விளைவிக்கும்
ஜாவாதீவு தவிர்க்க பேசினார் வேண்டு்ம,ஜாவாதீவு தவிர்க்க பேசினார் வேண்டும்
இந்ிரன் கொன்றான் சந்தித்தார்,இந்திரன் மற்றும் கொன்றான் சந்தித்தார்
மதுரை தவிர்க்க பார்த்தார் வேண்டும்,மதுரை தவிர்க்க பார்த்தார் வேண்டும்
கோவலன் உள்ள தப்பித்தான் கண்டார்,கோவலன் உள்ள தப்பித்தான் கண்டார்
அரவணஅடிகள் ஆக மறுத்தான் மாறினான்,அரவணஅடிகள் ஆக மறுத்தான் மாறினார்
உதயகுமாரன் மற்றும் கண்டார் சந்தித்தார்,உதயகுமாரன் மற்றும் கண்டார் சந்தித்தார்
வாகனம் கழிவுகள் ஒளி சேர்த்தல்,வாகனம் கழிவுகள் ஒளி சேர்த்தல்
சுதாமதி முக்கியம் காரணங்கள் மறுத்தான்,சுதாமதி காரணங்கள் மறுத்தான் முக்கியம்
வித்யதரன் சென்றார் தீங்கு,வித்யாதரன் தீங்கு சென்றார் விளைவிக்கும்
மதுரை மீது விருப்பம்,மதுரை மீது வந்தார் விருப்பம்
சிலப்பதிகாரம் ஆக செய்தான் மாினான்,சிலப்பதிகாரம் ஆக செய்தார் மாறினார்
மணிப்பவளம் சென்றார் ிசல மற்றும் சந்தித்தார்,மணிப்பவளம் மற்றும் சென்றார் சந்தித்தார்
அரவணஅடிகள் இருந்து கூறினார் வந்தார்,அரவணஅடிகள் இருந்து கூறினார் வந்தார்
மணிப்பவளம் பார்த்தார் பற்றி பேசினார்,மணிப்பவளம் பார்த்தார் பற்றி பேசினார்
மன்னன் மீது கண்டான் முன்பு விருப்பம்,மன்னன் மீது கண்டார் விருப்பம்
வித்யாதரன் கூறினார் மாறினார்,வித்யாதரன் ஆக கூறினார் மாறினார்
விழா உள்ள சிறிது வந்தா் கண்டார்,விழா உள்ள வந்தார் கண்டார்
கோவலன் விளைவுகள் அழைத்தாள் உள்ளன,கோவலன் விளைவுகள் அழைத்தான் உள்ளன
பாட்டி மற்றறும் சந்தித்தான் மறுத்தான்,பாட்டி மற்றும் மறுத்தார் சந்தித்தார்
ஆபுத்திரன் முன்பு வந்தார் பேசினான் இருந்து,ஆபுத்திரன் இருந்து பேசினான் வந்தார்
பாட்டி உள்ள பேசினான் கண்டான்,பாட்டி உள்ள பேசினான் கண்டார்
மன்னன் விளைவுகள் அழைத்தான் உள்ளன,மன்னன் விளைவுகள் அழைத்தான் உள்ளன
மணிப்பவளம் தவிர்க்க வந்தான் வேண்டும்,மணிப்பவளம் தவிர்க்க வந்தான் வேண்டும்
மதுரை சுத்தம் செய்ய,மதுரை சுத்தம் செய்தார் செய்ய
காயசண்டிகை செய்தான் செய்தான் பிறகு,காயசண்டிகை பிறகு செய்தான் செய்தார்
முனிவர் மீது கொன்றான் சிறிது விருப்பம்,முனிவர் மீது கொன்றார் விருப்பம்
ஆபுத்திரன் விளைவுகள் உள்ளன,ஆபுத்திரன் விளைவுகள் செய்தான் உள்ளன
மணிமேகலை மீது கொன்றார் விருப்பம்,மணிமேகலை மீது கொன்றார் விருப்பம்
துறவி இல் ஒருசில கூறினார் நடைபெற்றது,துறவி இல் கூறினார் நடைபெற்றது
மணிப்பவளம் தீங்கு விரும்பினார் விளைவிக்கும்,மணிப்பவளம் தீங்கு விரும்பினார் விளைவிக்கும்
முனிவர் சிறிது இல் விரும்பினார் ஒருசில நடைபெற்றது,முனிவர் இல் விரும்பினார் நடைபெற்றது
பாட்டி சுத்தம் ஒருசில செய்ய,பாட்டி சுத்தம் சென்றார் செய்ய
விழா பார்த்தார் பற்றி பேசினார்,விழா பார்த்தார் பற்றி பேசினார்
மன்னன் பாதிப்பு கண்டான் ஏற்படுத்தும்,மன்னன் பாதிப்பு கண்டான் ஏற்படுத்தும்
காயசண்டிகை அழைத்தான் காரணங்கள் முக்கியம்,காயசண்டிகை காரணங்கள் அழைத்தான் முக்கியம்
கோவலன் காரணமாக மறுத்தான் ஆனான்,கோவலன் காரணமாக மறுத்தார் ஆனார்
மணிமேகலை காரணமாக தப்பித்தார் ஆனார்,மணிமேகலை காரணமாக தப்பித்தார் ஆனார்
கயசண்டிகை காரணமாக செய்தார் ஆனார்,காயசண்டிகை காரணமாக செய்தார் ஆனார்
தயெ்வம் பின்பு பிறகு வந்தார் செய்தார்,தெய்வம் பிறகு வந்தார் செய்தார்
முனிவர் சில பாதிப்பு மறுத்தாள் ஏறபடுத்தும்,முனிவர் பாதிப்பு மறுத்தான் ஏற்படுத்தும்
பாட்டி நினைத்தான் செய்தான்,பாட்டி பிறகு நினைத்தார் செய்தார்
காப்பியம் உள்ள கண்டார் முன்பு பேசினான்,காப்பியம் உள்ள பேசினான் கண்டார்
வித்யாதரன் கொன்றான் செய்தான்,வித்யாதரன் பிறகு கொன்றான் செய்தார்
பா்ததிரம் தவிர்க்க கண்டாள் வேண்டும்,பாத்திரம் தவிர்க்க கண்டான் வேண்டும்
மதுரை இருந்து ஒருசில கண்டார் வந்தார்,மதுரை இருந்து கண்டார் வந்தார்
நதி கழிவுகள் சேர்த்தல் மிகவும் நரீ்,நதி கழிவுகள் நீர் சேர்த்தல்
வித்யாதரன் சுத்தம் கண்டார் செய்ய,வித்யாதரன் சுத்தம் கண்டார் செய்ய
துறவி என்று நினைத்தார்,துறவி என்று மறுத்தார் நினைத்தார்
காற்று சேர்த்தல் கழிவுகள் மாசு,காற்று கழிவுகள் மாசு சேர்த்தல்
இந்திரன் பாதிப்பு செய்தான் ஏற்படுத்தும்,இந்திரன் பாதிப்பு செய்தான் ஏற்படுத்தும்
ஒலி வெள்ளம் சேர்த்தல்,ஒலி கழிவுகள் வெள்ளம் சேர்த்தல்
பாத்திரம் கொன்றான் பற்றி பேசினார்,பாத்திரம் கொன்றான் பற்றி பேசினார்
அரவணஅடிகள் தீங்கு கொொன்றான் ஒருசில விளைவிக்கும்,அரவணஅடிகள் தீங்கு கொன்றான் விளைவிக்கும்
தீவு தவிர்க்க தப்பித்தான் வேண்டும்,தீவு தவிர்க்க தப்பித்தார் வேண்டும்
பாட்டி உள்ள கூறினான் கண்டாாான்,பாட்டி உள்ள கூறினார் கண்டார்
முனிவர் பாதிப்பு சில கண்டார் ஏற்படுத்தும்,முனிவர் பாதிப்பு கண்டார் ஏற்படுத்தும்
காப்பியம் தீங்கு விளைவிக்கும்,காப்பியம் தீங்கு கொன்றார் விளைவிக்கும்
துறவி கண்டார் விளைவிக்கும்,துறவி தீங்கு கண்டார் விளைவிக்கும்
தீவு சுத்தம் செய்ய,தீவு சுத்தம் வந்தான் செய்ய
தெய்வம் செய்தான் பற்றி பேசினார்,தெய்வம் செய்தான் பற்றி பேசினார்
மதுரை விளைவுகள் தப்பித்தாள் உள்ளன,மதுரை விளைவுகள் தப்பித்தான் உள்ளன
இளவரசன் தவி்க்க வண்டும்,இளவரசன் தவிர்க்க கூறினார் வேண்டும்
வஞ்சி காரணமாக ஒருசில ஆனார்,வஞ்சி காரணமாக கொன்றான் ஆனார்
தீவு இல் நடைபெற்றது மறுத்தார் மிகவும்,தீவு இல் மறுத்தார் நடைபெற்றது
